CustomerID,Recency,Frequency,Monetary,AvgOrderValue,StdOrderValue,TotalOrders,TotalItems,R_Score,F_Score,M_Score,RFM_Score,RFM_Numeric,Customer_Segment
12346.0,164,11,372.86,11.3,8.97,33,70,2,5,2,252,9,About_To_Sleep
12347.0,2,2,1323.32,18.64,10.39,71,828,5,2,4,524,11,Potential_Loyalists
12348.0,73,1,222.15999999999997,11.11,4.55,20,373,2,1,1,211,4,Hibernating
12349.0,42,3,2671.14,26.19,33.25,102,993,3,3,5,335,11,Promising
12351.0,10,1,300.93,14.33,4.01,21,261,5,1,2,512,8,New_Customers
12352.0,10,2,343.8,19.1,6.65,18,188,5,2,2,522,9,Potential_Loyalists
12353.0,43,1,317.76,15.89,7.94,20,192,3,1,2,312,6,Others
12355.0,202,1,488.21000000000004,22.19,14.84,22,303,1,1,2,112,4,Hibernating
12356.0,15,3,3560.3,42.9,67.17,83,1825,4,3,5,435,12,Potential_Loyalists
12357.0,23,2,12079.99,73.21,98.85,165,3879,4,2,5,425,11,Potential_Loyalists
12358.0,10,3,2719.01,46.88,71.54,58,831,5,3,5,535,13,Potential_Loyalists
12359.0,60,6,2563.36,21.91,15.58,117,1130,3,4,5,345,12,Loyal_Customers
12360.0,14,5,1590.83,18.08,17.8,88,1294,5,4,4,544,13,Champions
12361.0,97,3,321.35,16.91,4.0,19,144,2,3,2,232,7,About_To_Sleep
12362.0,373,1,130.0,130.0,,1,1,1,1,1,111,3,Hibernating
12366.0,268,1,500.24,166.75,7.81,3,296,1,1,3,113,5,Others
12368.0,263,1,917.7,50.98,29.27,18,330,1,1,3,113,5,Others
12369.0,48,3,1791.15,19.26,24.55,93,1241,3,3,4,334,10,Promising
12370.0,259,3,774.62,22.13,24.77,35,252,1,3,3,133,7,At_Risk
12371.0,44,3,2179.42,20.96,24.05,104,845,3,3,5,335,11,Promising
12373.0,259,2,763.0500000000001,20.62,16.57,37,319,1,2,3,123,6,Others
